Chapter,Section,Page,Quote,Annotation,Type
9,Subjectivity and Bodily Self-Consciousness,249,"One can, of course, also experience one's body as an object, for example, by looking directly at it or at one's reflection in a mirror. In such cases, one is dealing with what has been called the conscious ""body image"" by contrast with the unconscious ""body schema"" [...] In the body image, the body is experienced as owned by the experiencing subject, and the image is typically a partial representation insofar as conscious awareness usually attends to only one part or area of the body at a time. ","I thought this was super interesting, and immediately thought about body dysmorphia! It seems like this would mean that looking at your ""body image"" and thinking about your body as an object can lead to distorted thinking about your body in the way of body dysmorphia, especially because you can only consciously focus on one thing at a time. That makes it much easier to focus on parts of yourself in a photo or in a mirror that you dislike, and it's easier to think about things you don't like about your body if your body is an object (something others can perceive) then if you think about your body as a way of moving about the world (unconscious body schema). Maybe this is also why social media is so harmful-- we're always seeing our own photos (body image) and comparing them to others' bodys-as-objects. ","Add Context , Connection"
9,Subjectivity and Bodily Self-Consciousness,251,"Bodily self-awareness is in this way conditioned by a form of otherness or alterity. According to Husserl, this self-othering dynamic is a crucial precondition for empathy, in the broad sense of being able to recognize others as subjects like oneself on the basis of their bodily presence. ","is this why if you don't hug your child, they might become a sociopath? If you had a baby and never touched it so that it never developed a sense of self-othering (maybe only robots interacted with it), would that child have any sense of empathy at all?",Question
9,The Dynamic Sensorimotor Approach to Perceptual Consciousness,253,"Another example comes
from tactile-vision subsitution systems (TVSS), in which
visual input to a camera that produces tactile stimulation
on the skin leads to a kind of “tactile seeing” once subjects
are able to control the camera’s movements (Bach-y-Rita
2002). Such cases cannot be explained simply by reference
to which particular cortical areas are activated because the
endogenous or exogenous rerouting of sensory-cortical
pathways changes the dynamic sensorimotor patterns in
which those cortical areas participate.",Reading some of the sections in this about TVSS helped me understand what Thompson was talking about better in this section and its relation to the sensorimotor approach https://plato.stanford.edu/entries/action-perception/,Add Context
9,The Dynamic Sensorimotor Approach to Perceptual Consciousness,265,"""It is hard to make sense of the idea that one could have a conscious perception of X without experiencing one's perception of X.""","I know that Thompson is critiquing the above idea, but I can't shake the feeling that he is doing it in the wrong way. More than the impossibility of having a conscious perception without experiencing that perception, I don't know that it is right to say that we 'experience our perception' at all. I feel that this language reinforces the picture of consciousness as a 'box' in which we would find our percepts. ",Question
9,The Dynamic Sensorimotor Approach to Perceptual Consciousness,275,"""According to the enactive approach, agency and selfhood require that the system be autonomous. The minimal case of autonomy, as we have seen, is a living cell. A cell is an autopoietic system. It is a self-organizing network of biochemical reactions that produces a membrane boundary that regulates external boundary conditions and makes possible the internal reaction network. A cell actively relates to its environment so as to satisfy a viability constraint. Its “sensory” responses serve to trigger “motor” behaviors subject to the maintenance of autopoiesis (robustness) and regulated by internal norms of adaptivity (flexibility). We have also seen that this circular organization and mode of coupling with the environment are recapitulated in a more complex form by the nervous system.""",What does this say about the plane in which sensorimotor knowledge exists? This seems to imply that it exists in order of life. What the equivalent be for the human order? ,Question
9,The Dynamic Sensorimotor Approach to Perceptual Consciousness,256–7,"""Sensory stimulation does not cause experience in us, which in turn causes our behavior, because ""skillful activity is the experience""... On the brain side, neural states are described not at the level of their intrinsic neurophysiological properties or as mere neural correlates of mental states, but rather in terms of how they participate in dynamic sensorimotor patterns involving the whole active organism.""","I really love this passage for its clarity and concision with respect to Thompson's thesis. One thing that I do wonder about is how much we need a new ontology to fully appreciate these statements. Given how much the physical sciences have made their way into our ""Lifeworld,"" I feel that many of us have a tacit picture of reality as a collection of physical matter distributed in space and interacting over time. This picture is also identifiable in the everyday framing of the so-called hard problem of consciousness: 'how is it that a hunk of inanimate matter could develop awareness of the world?' But it seems to me that the power of Thompson's description is in side-stepping this picture of reality for a different one, one that Thompson doesn't explicitly describe. On this account, consciousness does not belong to the individual, but to the system comprising of the individual and its milieu. Thus consciousness (and perhaps the difficulty is that this word seems irrecusably ""subjective"") exists as a structural phenomenon. But once again, if we are to overturn our old picture of reality, we have to see this structure as inseparable from its ""components,"" we cannot separate form and matter any more.","Add Context , Question"
9,The Dynamic Sensorimotor Approach to Perceptual Consciousness,260 - 261,"[A missile guidance system] In this case, however, unlike the case of a motile bacterium or metazoan organism, the “sensorimotor knowledge” is merely attributed to the system by the observer, not original to the system itself.There is no genuine sensorimotor knowledge or mastery in this system because the system is not autonomous (does not have an autonomous organization).","I wonder what kind of missile system is discussed here and I wonder if this is a good parallel to draw with AI systems. ""Genuine"" is a very odd term to use here since we are working with an interactive ontology. One might even argue that nothing is genuine (in the sense that it is totally spawned from one source) under enactivism.",Question
12,Protention,360,"protention is intentionally ""unfulfIlled,"" which means that, what it targets is absent or not fully present","I think this protention is an interesting concept to think from AI perspectives. It reminds me of the previous group discussion we had in class about time and its effect on AI systems. Can it perceive  time? In following up this, what's protention in terms of AI",Question
12,Protention,361,"The motivational relation between retention and protention is thus highly nonlinear. Retention motivates protention, which affects retention, which motivates protention, and so on and so forth, in a self-organizing way that gives temporal coherence to experience.","Here Thompson suggests that it is this retention-protention structure of experience that grants temporal coherence to our experience. I'm curious about the extent to which this structure informs our concept of time. Are these processes logically prior to notions of succession and simultaneity (in other words, do we derive the latter notions from the structure). If it is as radical is this, then this reminds me of a kind of paradox in Kant. Kant said that causation is a category of the mind by which we make sense of the world (it is ideal), but also that the noumenal (or objective) world causes the phenomenal (or apparent) one. Is there a way to understand this structure without forcing ourselves into this circularity? (My hunch is yes, once again provided we do not make consciousness/experience a self-enclosed, non-relational phenomenon).","Question , Connection"
12,Protention,361,"The motivational relation between retention and protention is thus highly nonlinear. Retention motivates protention, which affects reten­tion. ",remind me of idea of co-emergence/co-dependent in previous chapter of Mind in Life. I think this perfectly explains how retention and protention are collectively affecting the emergence of emotion in human minds.,Add Context
12,Enactive Emotion,363,one can point to the so-called basic emotions,"This reminds me of a different view of emotion I have read before. She argued that emotions were all constructed in your brain using past experiences (of yourself, the situation, social knowledge/norms) so you experience instances of emotion not a general one (if I'm remembering this correctly). So instead of experiencing a 'natural kind of emotion' as later referenced in the paragraph, you would be experiencing a manifestation or aspect of that broader emotion concept that is unique to the situation. It's also a pretty enactive take generally. ",Connection
12,Enactive Emotion,364,"According to LeDoux, ""the word 'emotion' does not refer to something that the mind or brain really has or does,"" because ""There is no such thing as the 'emo­tion' faculty and there is no single brain system dedicated to this phantom function.""","I like this idea that does not emphasis emotion as a actual existing function of a certain unit. It makes me thinking, why do we classified certain thing as emotion but not others. Why is anger emotion? what about if I am feeling something that human has no name for it?",Question
12,A Neurodynamical Model,368,"When a stimulus arrives, the activated receptors transmit pulses to the sensory cortex, where they induce the construction by nonlinear dynamics of an activity pattern in the form of a large-scale spatial pattern of coherent oscillatory activity. This pattern is not a representation of the stimulus by an endogenously generated response triggered by the sensory perturbation, a response that creates and carries meaning of the stimulus for the animal. ",Would love to unpack this!!,Jargon
12,A Neurodynamical Model,369,"Freeman holds that preafference ""provides an order parameter that shapes attractor landscapes, making it easier to capture expected or desired stimuli by enlarging or deepening the basins of their attractors"".","What does the ""order parameter"" mean?",Question
12,A Neurodynamical Model,370,"Hence, according to the enactive approach, sensorimotor processes modulate, but do not determine, an ongoing endogenous activity, when in turn infuses sensorimotor activity with emotional meaning and value for the organism. ","The enactive approach seems to explain reflexes in an intuitive way-- the brain might be ""consulted"" later, but the body the sensorimotor body is in charge of them?",Add Context
12,A Neurodynamical Model,370,"Freeman and Varela thus agree that consciousness is neurally embodied as a global dynamic activity pattern that organizes activity throughout the brain. Freeman describes consciousness as a “dynamic operator that mediates relations among neurons” and as a “state variable that constrains the chaotic activities of the parts by quenching local fluctuations” (1999a, pp. 132, 143). What Varela’s neurophenomenology of time-consciousness adds to this view is a proposal about how the sequence of such transitory activity patterns (corresponding to discrete states of awareness)  can also constitute a flow thanks to their retentional-protentional structure.","The language here is interesting. So consciousness is both (I guess partially) embodied in neural activities themselves and organizing the elements of the neural system, if I understood correctly. Then: 1) how is this different from the neuralscientific view of consciousness? It appears much closer to the brain/neuralsystem = consicousness idea than the embodied views that we learned about. and 2) how would a neuralphenomenological approach make use/collect empirical evidences?",Question
12,Emotional Self-Organization,371,emotional self-organization is modelled as an emergent cognition-emotion interaction ,"Seeing this written as cognition-emotion interaction was surprising to me. I've always considered emotion or emotional thinking to be cognition, especially when considering appraisal/two-factor type theories. (okay I just read the next few sentences of the paragraph and they explain that cognition is the appraisal part, but they still don't seem that separable) ",Question
12,Emotional Self-Organization,371,"At the microlevel, emotional self organization takes the form of an emergent ""emotional interpretation"", a rapid convergence of a cognitive interpretation of a situation and an emotional state.","I'm not sure how important ""interpretation"" is for bringing emotion and cognition together. If I get cut off in traffic and I get angry, that whole situation is a response to sort of ""counterract"" the disrespect of getting cut off. It's not really an interpretation of the first situation that tells us how to act in the next - anger arises as an action, part of counteracting the experience of getting cut off. It's only after the fact (after we're already angry) that we recognize it as anger.",Question
12,Emotional Self-Organization,372,"The table gives the following entry for the intersection between ""Personality"" and ""Higher-order form in circular causality:"" ""Sense of self""","I'm curious how this connects to our discussion of sensorimotor subjectivity from last week. There, we suggested that sensorimotor coupling with one's environment is a necessary (though perhaps not sufficient) condition for the 'sense of self' often associated with the idea of subjectivity. Is Thompson now suggesting that emotionality (affectivity?) is another necessary condition? Is it possible to have a sensorimotor coupling with one's environment and not 'have emotions'?","Question , Connection"
12,Emotional Self-Organization,372,Table 12.1,I like how the ambiguous word emotion is interpreted relative to a scale of time. It allows me to further look it to the big concept: what is exactly emotion? how long does it last?,Add Context
12,Emotional Self-Organization,375,"Perhaps this experience teaches us better than any other what the perceptual presence of the world is: beneath affirmation and negation, beneath judgment... it is our experience of the world, prior to every opinion, of inhabiting the world by our body","This reminds me a lot of the whole facial-feedback hypothesis. I've always found it a bit silly/unbelievable, but it makes a lot of sense why it would work considering what is written here. (this passage was also generally cool to read and felt like a good summary of what we've been talking about.)",Connection
12,Emotional Self-Organization,376,"A feeling-tone, described in psychology as having a valence or hedonic tone along a pleasant/unpleasant polarity","Is this the same valence that is talked about in psychology? As in, good/bad? Is it different somehow?",Question
12,Emotional Self-Organization,376,"Inadvertently seeing an angry face is a precipitating event or trigger. Faces, especially angry ones, have strong affective allure.",I like how this content helps me explore from a perspective that is significantly different from psychology. ,Add Context
12,Emotional Self-Organization,378,"These fluctuations are valenced in the following sense. As movement tendencies, they exhibit movement and posture valences—toward/away, approach/withdrawal, engage/avoid, receptive/defensive. As feeling tendencies, they exhibit affective and hedonic valences—attraction/repulsion, like/dislike, pleasant/unpleasant, and positive/negative. As socially situated, they exhibit social valences dominance/submission, nurturance/rejection. And as culturally situated, they exhibit normative and cultural valences, that is to say, values—good/bad, virtuous/unvirtuous, wholesome/unwholesome, worthy/unworthy, praiseworthy/blameworthy","Defining ""valence"" as such, to say emotion/action is valence/meaning seeking really isn't such a surprising claim. I am more curious how this view can be applied to understand cognitve phenomena. Can we approach it in different layers (i.e. dissecting what different levels of valences a certain action afford), like what Yifu Tuan did with the idea of topophilia? ","Add Context , Question"
12,Emotional Self-Organization,379-380,"From a neurophenomenological point of view, Heidegger's account is unsatisfying... despite the attention he gives to fear and the ""fundamental mood"" of anxiety. ","I'm still not convinced that ""mood"" is a fundamental part of subjectivity and emotionality. In moment-to-moment consciousness, I don't feel like our mood is that important overall. It feels more like something that we attribute to ourselves or others after the fact. ",Question
13,Intro,382,"""The first idea is that self and other enact each other reciprocally through empathy.""","This reminds of an idea from French philosopher (and student of Merleau-Ponty) Gilbert Simondon. Basically, he holds that different levels of individuation (ontogenesis) occur when recourse to more of being is required to resolve a certain ""problematic."" Psychical individuation (formation of coherent experience), for example, happens when the action of a being comes to resolve the open-ended vital problematic of the being. In turn, collective individuation (formation of an intersubjectivity) happens when the group comes to resolve the still open problematic of the psyche of the being. He further claims that the two (psychical and collective individuation) are reciprocal with respect to one another, implying that it is not even a matter of emergence, but that all subjectivation involves intersubjectivation.","Add Context , Connection"
13,Intentionality and Open Intersubjectivity,383,"Consciousness is not solipsistically closed in upon itself; rather, it is structurally open to the other in advance of any actual encounter be­tween self and other.","Sartre and Hegel discussed about that the form of consciousness is dependent on the presence of others. ""Myself"" is formed in relation to ""the Other"".",Connection
13,Intentionality and Open Intersubjectivity,383,"""Consciousness is not solipsistically closed in upon itself; rather, it is structurally open to the other in advance of any actual encounter between self and other""","This confuses me because I feel like a lot of what we have been reading about would indicate that there is no time where we aren't having an encounter between the self and other. I kind of interpret structurally open as the idea that our consciousness/bodily existence necessitate the organization between self and other, so why would open intersubjectivity be argued that it is in advance of an encounter?",Question
13,Intentionality and Open Intersubjectivity,384,"Thus the appresented and hidden profiles seem better understood not as correlates of one's own possible perceptions, but as the correlates of the possible perceptions of other subjects, who could perceive the object simultaneously with oneself, though from a different vantage point.","I don't think this makes any sense. How is this different from imagining yourself in different profiles? Either way, the profiles are nonactual. There's no difference in nonactuality in me imagining myself perceive an object from different profiles and me imaging multiple other, random ""people"" perceive an object from different profiles. Also, I don't see how this would have any real implications for the theory, so it feels like a weird point to push. ",Question
13,Intentionality and Open Intersubjectivity,385,"""in this way, the intentionality of consciousness is intersubjectively open and incompatible with any solipsism that would deny the possibility in principle of a plurality of subjects who view the same world I do"" ","Solipsism is the idea that the self is all that can be known to exist. I thought this wording was interesting in that intersubjectivity requires that other subjects view the same world, not that they view the world in the same way. Is that an important distinction, especially in terms of empathy kind of being simultaneously experiencing something?","Add Context , Question , Translation  style entry"
13,The Phenomenological Concept of Empathy,390,"A face, therefore, is not only an expression of a self available for others to read but to some extent the self is constituted in the face and developed and experienced in the interaction between faces","I really like this idea of the self and emotion. On one hand facial expressions and body language are an external record of some internal emotional state, but it's also a pragmatic response to the external social forces in the conversation. When you're talking to someone, you can notice their reaction, but also ""higher order"" reactions, like their reaction to your reaction, etc... I think this definitely comes into play in tough social situations, person A thinks person B is lying, etc...",Translation  style entry
13,The Phenomenological Concept of Empathy,390,"[T]he face involves an injunction not only to express,and to observe expressions,but to immerse oneself in what is expressed and to feel something of it oneself. Though complementary to body language, in this it may go beyond what is usually considered to be expressed through posture. Expressions actually help in constituting what is within. A face, therefore, is not only an expression of a self available for others to read, but to some extent the self is constituted in the face and developed, and experienced, in the interaction between faces.","This reminds me of Levinas's idea of the face of the other.  In that argument (from my limited understanding), it is through facing the other and understanding that oneself can be other to others, or even further, that one cannot be a subject without others, that we start to develop a sense of morality.","Add Context , Connection"
13,The Phenomenological Concept of Empathy,391,"When we perceive another, we perceive her as ""there"" in relation to us ""here"". We do not experience another's movements as mechanical but as alive, spontaneous, and volitional.","I think the idea of empathy as recognizing ""humanness"" by way of spontinaity/unpredictability can be extended to other domains. It reminded me of Gary Kasparov's chess match against Deep Blue. For earlier versions of the program, the computer would be mechanical, waiting a set amount of time before each move. To try to throw Kasparov off his game, later versions of the computer added some randomness and was programmed to make a quick decision after Kasparov made a questionable move, trying to appear more like a confident human player and throw him off. ",Connection
13,Enculturation,404,"""Evolution is not simply change in gene frequencies, but ""change in the distribution and constitution of developmental (organism-environment) systems.""""","This makes me wonder if an adequate study of evolution will require not only a history of a species, but also a history of environments. In other words, Thompson's point seems to entitle us (and indeed necessitate us) to speak of the evolution of environments as well as the evolution of species. If this is the case, it seems like we need a new kind of non-positivist (at least in the sense of positive, discrete entities) method that is simultaneously more than introspection and more than brute, material history. At the same time, I wonder how suited much of our language is to this task. My big question is whether language is permanently fixed in this positivist mode, or whether we can devise a relational language.",Question
